column,value,count
reserved_room_type,0,6993
reserved_room_type,3,1586
reserved_room_type,4,522
reserved_room_type,5,270
reserved_room_type,6,203
reserved_room_type,2,81
reserved_room_type,1,69
reserved_room_type,7,42
assigned_room_type,0,6007
assigned_room_type,3,2092
assigned_room_type,4,623
assigned_room_type,5,335
assigned_room_type,6,238
assigned_room_type,2,204
assigned_room_type,1,168
assigned_room_type,7,54
assigned_room_type,8,28
assigned_room_type,9,17
booking_changes,0,8233
booking_changes,1,1070
booking_changes,2,324
booking_changes,3,87
booking_changes,4,28
booking_changes,5,14
booking_changes,6,6
booking_changes,7,3
booking_changes,13,1
deposit_type,0,8573
deposit_type,1,1178
deposit_type,2,15
agent,9.0,2665
agent,240.0,1148
agent,14.0,668
agent,250.0,613
agent,1.0,606
agent,6.0,291
agent,7.0,289
agent,40.0,160
agent,37.0,133
agent,241.0,129
agent,28.0,125
agent,3.0,116
agent,8.0,115
agent,19.0,96
agent,29.0,75
agent,314.0,73
agent,21.0,73
agent,83.0,66
agent,171.0,61
agent,298.0,59
agent,30.0,57
agent,273.0,56
agent,229.0,53
agent,96.0,52
agent,242.0,52
agent,85.0,49
agent,134.0,49
agent,20.0,45
agent,26.0,44
agent,315.0,44
agent,38.0,43
agent,243.0,43
agent,12.0,40
agent,56.0,37
agent,22.0,36
agent,58.0,35
agent,94.0,35
agent,16.0,34
agent,27.0,33
agent,15.0,33
agent,236.0,30
agent,44.0,29
agent,34.0,28
agent,119.0,28
agent,86.0,27
agent,251.0,27
agent,45.0,27
agent,177.0,27
agent,138.0,25
agent,191.0,25
agent,11.0,24
agent,535.0,24
agent,195.0,24
agent,196.0,23
agent,10.0,22
agent,115.0,21
agent,248.0,20
agent,154.0,20
agent,47.0,20
agent,156.0,19
agent,78.0,18
agent,234.0,18
agent,95.0,17
agent,281.0,17
agent,152.0,17
agent,17.0,16
agent,252.0,16
agent,68.0,16
agent,378.0,16
agent,175.0,16
agent,385.0,16
agent,208.0,16
agent,31.0,15
agent,143.0,15
agent,5.0,14
agent,67.0,13
agent,330.0,13
agent,326.0,12
agent,142.0,12
agent,410.0,12
agent,147.0,11
agent,308.0,11
agent,39.0,11
agent,98.0,11
agent,170.0,10
agent,464.0,10
agent,305.0,9
agent,296.0,9
agent,254.0,9
agent,2.0,9
agent,35.0,9
agent,323.0,9
agent,155.0,9
agent,481.0,9
agent,146.0,9
agent,253.0,8
agent,69.0,8
agent,52.0,8
agent,168.0,8
agent,220.0,8
agent,89.0,8
agent,42.0,8
agent,82.0,7
agent,306.0,7
agent,132.0,7
agent,324.0,7
agent,245.0,7
agent,104.0,7
agent,127.0,6
agent,36.0,6
agent,332.0,6
agent,159.0,6
agent,13.0,6
agent,118.0,6
agent,368.0,6
agent,41.0,6
agent,390.0,6
agent,75.0,5
agent,339.0,5
agent,493.0,5
agent,181.0,5
agent,360.0,5
agent,235.0,5
agent,336.0,5
agent,91.0,5
agent,99.0,5
agent,79.0,5
agent,440.0,5
agent,133.0,4
agent,71.0,4
agent,157.0,4
agent,307.0,4
agent,495.0,4
agent,201.0,4
agent,66.0,4
agent,4.0,4
agent,121.0,4
agent,468.0,4
agent,249.0,4
agent,387.0,4
agent,151.0,4
agent,467.0,3
agent,63.0,3
agent,393.0,3
agent,328.0,3
agent,111.0,3
agent,87.0,3
agent,436.0,3
agent,531.0,3
agent,192.0,3
agent,350.0,3
agent,81.0,3
agent,261.0,3
agent,184.0,3
agent,290.0,3
agent,492.0,3
agent,434.0,3
agent,126.0,3
agent,149.0,3
agent,185.0,3
agent,223.0,3
agent,110.0,2
agent,174.0,2
agent,55.0,2
agent,348.0,2
