column,value,count
days_in_waiting_list,87,80
days_in_waiting_list,38,76
days_in_waiting_list,111,71
days_in_waiting_list,101,65
days_in_waiting_list,45,65
days_in_waiting_list,41,63
days_in_waiting_list,77,63
days_in_waiting_list,223,61
days_in_waiting_list,62,60
days_in_waiting_list,98,59
days_in_waiting_list,3,59
days_in_waiting_list,22,56
days_in_waiting_list,15,54
days_in_waiting_list,122,53
days_in_waiting_list,48,52
days_in_waiting_list,91,50
days_in_waiting_list,176,50
days_in_waiting_list,28,50
days_in_waiting_list,17,47
days_in_waiting_list,96,46
days_in_waiting_list,187,45
days_in_waiting_list,56,45
days_in_waiting_list,391,45
days_in_waiting_list,68,41
days_in_waiting_list,60,41
days_in_waiting_list,93,40
days_in_waiting_list,75,40
days_in_waiting_list,21,37
days_in_waiting_list,65,35
days_in_waiting_list,236,35
days_in_waiting_list,42,30
days_in_waiting_list,147,30
days_in_waiting_list,162,30
days_in_waiting_list,19,30
days_in_waiting_list,178,30
days_in_waiting_list,33,30
days_in_waiting_list,20,29
days_in_waiting_list,40,28
days_in_waiting_list,10,28
days_in_waiting_list,27,26
days_in_waiting_list,34,26
days_in_waiting_list,120,25
days_in_waiting_list,160,25
days_in_waiting_list,4,25
days_in_waiting_list,25,25
days_in_waiting_list,57,25
days_in_waiting_list,47,24
days_in_waiting_list,80,24
days_in_waiting_list,215,21
days_in_waiting_list,79,20
days_in_waiting_list,108,20
days_in_waiting_list,99,19
days_in_waiting_list,43,19
days_in_waiting_list,24,19
days_in_waiting_list,174,19
days_in_waiting_list,32,19
days_in_waiting_list,70,18
days_in_waiting_list,61,18
days_in_waiting_list,49,18
days_in_waiting_list,125,16
days_in_waiting_list,9,16
days_in_waiting_list,207,15
days_in_waiting_list,330,15
days_in_waiting_list,379,15
days_in_waiting_list,6,15
days_in_waiting_list,85,15
days_in_waiting_list,59,14
days_in_waiting_list,71,13
days_in_waiting_list,1,12
days_in_waiting_list,150,11
days_in_waiting_list,224,10
days_in_waiting_list,55,10
days_in_waiting_list,259,10
days_in_waiting_list,14,9
days_in_waiting_list,5,8
days_in_waiting_list,11,7
days_in_waiting_list,8,7
days_in_waiting_list,113,6
days_in_waiting_list,53,6
days_in_waiting_list,2,5
days_in_waiting_list,107,5
days_in_waiting_list,16,4
days_in_waiting_list,26,4
days_in_waiting_list,7,4
days_in_waiting_list,13,4
days_in_waiting_list,23,3
days_in_waiting_list,100,3
days_in_waiting_list,64,3
